Policy_ID,Latitude,Longitude,Line_of_Business,Construction_Type,Replacement_Cost_Value,HAZ_CLASS
POL-00001,36.05813112904994,-118.49404327802227,Residential,Masonry,284064,Low_or_Unzoned
POL-00002,38.18725559987185,-122.88405100071537,Residential,Wood Frame,863538,Low_or_Unzoned
POL-00003,40.728673384861885,-120.21121639521093,Residential,Wood Frame,1536510,Low_or_Unzoned
POL-00004,41.71414359553894,-120.38493908908896,Residential,Masonry,202494,Low_or_Unzoned
POL-00005,34.22733718846746,-117.76420294680936,Commercial,Masonry,2126198,Very High
POL-00006,36.6034776771001,-121.37848435504607,Residential,Wood Frame,487555,Low_or_Unzoned
POL-00007,38.31260249986261,-120.18130829330457,Residential,Wood Frame,247702,Low_or_Unzoned
POL-00008,35.27537416108457,-117.43996964543712,Residential,Steel Frame,990736,Low_or_Unzoned
POL-00009,36.83266485006184,-117.43253262543222,Residential,Wood Frame,378070,Low_or_Unzoned
POL-00010,41.673504314208316,-122.8598841667287,Residential,Wood Frame,506161,Low_or_Unzoned
POL-00011,33.427885083060644,-116.16490990896558,Residential,Masonry,391044,Low_or_Unzoned
POL-00012,36.68144869052621,-118.43302597236361,Residential,Steel Frame,281140,Low_or_Unzoned
POL-00013,33.659363231025395,-115.40593377353274,Residential,Masonry,964338,Low_or_Unzoned
POL-00014,37.20418064605707,-121.46088502299537,Commercial,Masonry,429749,Low_or_Unzoned
POL-00015,34.958409825200164,-120.18250000337034,Residential,Wood Frame,171215,Low_or_Unzoned
POL-00016,38.79396170136283,-120.01139223205219,Residential,Masonry,839740,Low_or_Unzoned
POL-00017,37.4406462011892,-118.57556592481237,Commercial,Wood Frame,205979,Low_or_Unzoned
POL-00018,41.25780523271961,-124.32989582793559,Commercial,Masonry,214784,Low_or_Unzoned
POL-00019,33.34067876949324,-115.90700553981488,Commercial,Wood Frame,1402946,Low_or_Unzoned
POL-00020,32.92965924465011,-115.15590954818994,Commercial,Wood Frame,207508,Low_or_Unzoned
POL-00021,35.16887784203012,-115.41159497669186,Residential,Wood Frame,84697,Low_or_Unzoned
POL-00022,33.208231114957826,-117.42469156816495,Residential,Wood Frame,889388,Low_or_Unzoned
POL-00023,39.836325308318244,-121.09454153780906,Residential,Masonry,423754,Low_or_Unzoned
POL-00024,34.387798974574636,-117.39692063003365,Residential,Steel Frame,454010,Low_or_Unzoned
POL-00025,35.90542442117059,-116.42989602541138,Commercial,Masonry,420163,Low_or_Unzoned
POL-00026,38.4213322048618,-122.05000536218208,Residential,Masonry,650395,Low_or_Unzoned
