name,geometry,Longitude,Latitude,Flood_Depth_SSP2_meters,Flood_Depth_SSP5_meters,Impact_SSP2,Impact_SSP5
Highland Park Pavilion,POINT (-80.2083987475368 25.79109690834406),-80.2083987475368,25.79109690834406,0.13583127912682916,0.8877084961382034,02_Minor Inundation,03_Moderate Damage (Disrupted)
Select Specialty Hospital - Miami,POINT (-80.21085249311447 25.777017882960596),-80.21085249311447,25.777017882960596,0.033581370430922935,0.6728878155390939,02_Minor Inundation,03_Moderate Damage (Disrupted)
INTEGRIS Miami Hospital,POINT (-94.88093802557368 36.8727370560048),-94.88093802557368,36.8727370560048,0.0,0.0,01_Safe / Unexposed,01_Safe / Unexposed
UHealth Tower,POINT (-80.21636626147983 25.788447519799483),-80.21636626147983,25.788447519799483,0.15776085830895492,1.031531335825083,02_Minor Inundation,03_Moderate Damage (Disrupted)
Jackson Behavioral Health Hospital,POINT (-80.20948884467623 25.79071920980164),-80.20948884467623,25.79071920980164,0.3212486610626251,1.009559655932752,02_Minor Inundation,03_Moderate Damage (Disrupted)
Miami Veterans Affairs Medical Center,POINT (-80.21698786137898 25.791881225163436),-80.21698786137898,25.791881225163436,0.18734562040280606,1.057134723437217,02_Minor Inundation,03_Moderate Damage (Disrupted)
Jackson Memorial Hospital,POINT (-80.21270981170301 25.79249471754987),-80.21270981170301,25.79249471754987,0.08523586740179556,0.7813544492387641,02_Minor Inundation,03_Moderate Damage (Disrupted)
Mercy Hospital,POINT (-80.21470516105933 25.74072893552145),-80.21470516105933,25.74072893552145,0.0036212448285395105,1.258568958099735,02_Minor Inundation,03_Moderate Damage (Disrupted)
Miami Day Hospital,POINT (153.43682661330183 -28.06304605426861),153.43682661330183,-28.06304605426861,0.0,0.0,01_Safe / Unexposed,01_Safe / Unexposed
Douglas Gardens Hospital,POINT (-80.19296 25.823732299999996),-80.19296,25.823732299999996,0.18584028790530535,1.071565185406781,02_Minor Inundation,03_Moderate Damage (Disrupted)
Jackson Memorial Hospital Emergency Room,POINT (-80.2120083 25.7929637),-80.2120083,25.7929637,0.16257958472440548,1.081904905308464,02_Minor Inundation,03_Moderate Damage (Disrupted)
